BAHIA BLANCA,ALSINA SUITES APART HOTEL,LAMADRID 92,BUENOS AIRES,2914304100,Lodging,-38.7159373,-62.2616411
BAHIA BLANCA,APART HOTEL ORION,ESPAÑA 227,BUENOS AIRES,2914513505,Lodging,-38.7244016,-62.265365
BAHIA BLANCA,APART PATAGONIA SUR,ITALIA 64,BUENOS AIRES,2914557667,Lodging,-38.7252937,-62.2727848
BAHIA BLANCA,AUTOS DEL SUR,HIPOLITO YRIGOYEN 4189,BUENOS AIRES,2914862620,Car Rental,-38.6849151,-62.2271093
BAHIA BLANCA,BAMBU CANTING,CHICLANA 298,BUENOS AIRES,2914548850,Restaurants,-38.7207648,-62.2632232
BAHIA BLANCA,BANCHETTO,ALTE G BROWN 18,BUENOS AIRES,2914548788,Restaurants,-38.7207324,-62.2673053
BAHIA BLANCA,BANCHIETTO,ESTOMBA 399,BUENOS AIRES,2914501516,Restaurants,-38.7149125,-62.2708383
BAHIA BLANCA,BUENA VIDA,MALHARRO MARTIN 16,BUENOS AIRES,2914531602,Restaurants,-38.6898151,-62.2307932
BAHIA BLANCA,CAFE DE LA CIUDAD,SARMIENTO 48,BUENOS AIRES,2914560708,Restaurants,-38.716171,-62.265833
BAHIA BLANCA,CAFE MARTINEZ BAHIA BLANCA,ALSINA 385 LOC 1,BUENOS AIRES,2914561213,Restaurants,-34.6334233,-58.4803398
BAHIA BLANCA,CAFE MUNOZ,GRAL O HIGGINS 45,BUENOS AIRES,2914510274,Restaurants,-38.7211536,-62.2678541
BAHIA BLANCA,CAFE MUNOZ,GRAL O HIGGINS 47 ESQ L M DRAGO,BUENOS AIRES,2914510274,Restaurants,-38.7256622,-62.2581444
BAHIA BLANCA,CAPITANA BARLIGHT 3,GORRITI 49,BUENOS AIRES,45850682,Restaurants,-38.7166292,-62.2706729
BAHIA BLANCA,COMO EN CASA,ESTOMBA 1337,BUENOS AIRES,2914543555,Restaurants,-38.7066219,-62.2817083
BAHIA BLANCA,DEL MIRADOR,ENTRE RIOS 94,BUENOS AIRES,2914510911,Lodging,-38.709551,-62.2819883
BAHIA BLANCA,DON BARTOLOMEO,AV L N ALEM 325,BUENOS AIRES,2914564100,Restaurants,-38.7114858,-62.2626688
BAHIA BLANCA,DON TOMAS,AV L N ALEM 59,BUENOS AIRES,2914553666,Restaurants,-38.7140812,-62.26068
BAHIA BLANCA,EDIFICIO BELGRANO SUITES,BELGRANO 67,BUENOS AIRES,2914519549,Lodging,-38.7190786,-62.2631973
BAHIA BLANCA,EL CHOLO,RN 3 SUR 0 KM 696,BUENOS AIRES,2914846781,Restaurants,-34.6260348,-58.4837641
